rank,id,minplayers,maxplayers,maxplaytime,average_rating,age,total_owners,total_weights,mechanic_count,category_count,designer_count,name_clean,category_clean_Adventure,category_clean_Educational,category_clean_Era,category_clean_Expansion for Base-game,category_clean_Other,category_clean_Strategy,category_clean_Wargame,mechanic_clean_Co-op,mechanic_clean_Dice_Rolling,mechanic_clean_Movement,mechanic_clean_Other,mechanic_clean_PVP,mechanic_clean_Role_Playing,category_clean,mechanic_clean
2459,200924,2,5,60,7.0106,10,1196,2.3,2,2,2,Order of the Gilded Compass,1,0,0,0,0,0,0,0,0,0,0,1,0,Adventure,PVP
2460,25420,3,4,45,6.50511,10,1162,3.0764,5,2,1,Ur,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
2461,66837,2,8,300,8.16098,12,464,4.3571,4,2,1, Railway Mania in the Eastern Counties,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
2462,172971,3,6,15,6.63062,6,1241,1.08,2,2,1,Crossing,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
2463,205057,2,4,45,7.15936,13,1300,2.0,3,2,1,Word Domination,0,0,0,0,0,1,0,0,0,0,0,1,0,Strategy,PVP
2464,22198,2,5,30,6.21901,10,2531,1.8664,2,1,1,Great Wall of China,0,0,0,0,1,0,0,0,0,0,0,1,0,Other,PVP
2465,40531,2,4,60,6.41566,0,2213,2.314,1,3,4,Cosmic Encounter,0,0,0,0,0,1,0,0,0,0,0,1,0,Strategy,PVP
2466,179820,2,4,90,7.25712,9,2311,3.1053,2,3,1,Tail Feathers,1,0,0,0,0,0,0,0,0,0,0,1,0,Adventure,PVP
2467,183896,2,6,30,6.71012,8,2735,1.3125,2,1,1,Firefly Fluxx,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
2468,181617,2,4,20,7.06562,8,1037,1.7692,2,2,2,Beasty Bar New Beasts in Town,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
2469,2998,1,2,360,7.26829,12,1264,3.0156,2,2,1,Reds The Russian Civil War ,0,0,0,0,0,0,1,0,0,0,0,1,0,Wargame,PVP
2470,18289,3,5,40,6.60743,8,1264,2.0303,4,1,3,Key Largo,1,0,0,0,0,0,0,0,0,0,0,1,0,Adventure,PVP
2471,116858,2,5,30,6.5174,7,1522,1.3509,1,2,2,Noah,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
2472,29285,1,2,22500,8.23034,12,658,4.5821,3,2,1,Case Blue,0,0,0,0,0,0,1,0,1,0,0,0,0,Wargame,Dice_Rolling
2473,713,2,6,60,6.20877,10,3762,1.444,2,4,1,Nuclear War,0,0,0,0,1,0,0,0,0,0,0,1,0,Other,PVP
2474,31790,2,2,360,8.45172,14,504,3.2045,4,3,1,Crusade and Revolution The Spanish Civil War ,0,0,0,0,0,0,1,0,0,0,0,1,0,Wargame,PVP
2475,239840,2,6,30,6.95266,8,773,1.5556,3,2,2,Micropolis,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
2476,20079,3,7,120,6.64143,10,1191,2.0169,5,4,2,Pacific Typhoon,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
2477,98347,2,4,120,6.77567,12,1163,2.9138,4,2,1,Empires of the Void,1,0,0,0,0,0,0,0,0,0,1,0,0,Adventure,Other
2478,4529,2,2,60,6.21232,12,3141,2.0529,3,2,1,Hellas,0,0,1,0,0,0,0,0,0,0,0,1,0,Era,PVP
2479,3893,2,6,120,7.23754,12,696,2.619,4,3,1,Full Thrust,0,0,0,0,1,0,0,0,0,0,0,1,0,Other,PVP
2480,545,2,12,60,6.71467,10,979,1.2609,1,1,4,Kaleidos,0,0,0,0,1,0,0,0,0,1,0,0,0,Other,Movement
2481,199493,3,8,90,7.05816,13,962,1.75,3,4,2,Escape the Room Secret of Dr Gravelys Retreat,0,0,0,0,0,1,0,1,0,0,0,0,0,Strategy,Co-op
2482,141932,2,5,40,6.35795,8,2962,2.3412,1,2,1,The Agents,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
2483,113927,2,5,45,7.27182,12,1279,2.8095,3,5,1,Nightfall The Coldest War,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
2484,84159,3,5,60,6.43893,10,1699,1.913,3,5,2,Junta Viva el Presidente,0,0,0,0,1,0,0,0,1,0,0,0,0,Other,Dice_Rolling
2485,148205,2,5,60,6.6493,13,1329,2.2121,3,1,2,Penny Press,0,0,0,0,0,1,0,0,0,0,0,1,0,Strategy,PVP
2486,228668,1,5,60,7.962,14,1258,2.7143,5,4,1,Dungeons  Dragons Tomb of Annihilation Board Game,1,0,0,0,0,0,0,1,0,0,0,0,0,Adventure,Co-op
2487,22457,2,2,180,6.74304,12,1691,2.6556,2,2,2,Axis  Allies Battle of the Bulge,0,0,0,0,0,0,1,0,0,1,0,0,0,Wargame,Movement
2488,670,1,2,120,6.46988,12,3218,3.097,2,3,1,Starship Troopers,0,1,0,0,0,0,0,0,0,0,0,1,0,Educational,PVP
2489,1459,2,6,10,6.42067,10,1970,1.25,2,1,3,Sharp Shooters,0,0,0,0,1,0,0,0,1,0,0,0,0,Other,Dice_Rolling
2490,32838,2,8,240,7.87542,0,959,3.7778,3,2,1,The Battle for Normandy,0,0,0,0,0,0,1,0,1,0,0,0,0,Wargame,Dice_Rolling
2491,231819,2,4,30,6.89557,8,1991,1.7857,3,3,2,Sonar,0,0,0,0,0,1,0,0,0,1,0,0,0,Strategy,Movement
2492,32989,1,3,3600,8.37654,12,653,4.3864,3,2,3,Axis Empires Totaler Krieg,0,0,0,0,0,0,1,0,0,0,0,1,0,Wargame,PVP
2493,1666,1,1,240,7.51726,12,1090,3.2692,1,2,2,Battle Hymn,0,0,0,0,0,0,1,0,0,0,0,1,0,Wargame,PVP
2494,11096,3,4,180,7.17965,12,527,3.2712,3,2,1,Tahuantinsuyu,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
2495,92120,2,6,90,6.54881,10,1143,2.5333,5,3,1,Atlantis Rising,0,0,1,0,0,0,0,1,0,0,0,0,0,Era,Co-op
2496,101786,2,4,45,7.37125,14,1075,2.5278,3,3,1,Dust Tactics Revised Core Set,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
2497,173441,3,8,60,7.03731,12,1308,1.0909,1,3,1,Bring Your Own Book,0,0,0,0,1,0,0,0,0,0,0,1,0,Other,PVP
2498,32114,2,4,30,6.59201,12,1120,1.7273,4,4,1,Merchants,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
2499,5419,2,4,90,6.58061,12,1158,2.9574,2,2,2,Magna Grecia,0,0,1,0,0,0,0,0,0,1,0,0,0,Era,Movement
2500,208480,1,6,20,7.17582,10,854,1.2857,1,2,1,Wordsy,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
2501,2932,2,2,20,6.54198,7,1865,2.5699,2,1,1,Hnefatafl,0,0,0,0,0,1,0,0,0,1,0,0,0,Strategy,Movement
2502,148291,3,3,25,6.7042,13,918,2.1875,4,3,1,Trieste,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
2503,218050,1,4,60,7.15486,10,1183,2.25,4,1,1,Hotshots,0,0,0,0,1,0,0,1,0,0,0,0,0,Other,Co-op
2504,190400,1,4,180,7.64301,14,819,2.25,6,4,2,Aventuria Adventure Card Game,1,0,0,0,0,0,0,1,0,0,0,0,0,Adventure,Co-op
2505,186323,1,6,60,7.25596,13,735,2.3077,3,1,1,Tavarua,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
2506,180602,2,4,20,6.3663,8,2078,1.2115,2,3,4,Game of Trains,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
2507,91189,2,5,90,6.89926,10,825,2.3793,4,1,3,Ristorante Italia,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
2508,98242,2,5,60,6.48848,13,2179,2.4545,4,6,1,Star Trek Deck Building Game The Next Generation,1,0,0,0,0,0,0,0,0,0,1,0,0,Adventure,Other
2509,152053,1,4,60,6.40757,14,3239,2.72,5,3,1,Lagoon Land of Druids,1,0,0,0,0,0,0,0,0,1,0,0,0,Adventure,Movement
2510,147431,2,4,45,6.83538,7,941,1.9143,4,3,2,Cubist,0,0,0,0,1,0,0,0,1,0,0,0,0,Other,Dice_Rolling
2511,159469,2,2,50,7.56648,14,659,3.25,2,3,1,Ortus Regni,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
2512,2228,2,3,180,6.60943,12,1968,3.4526,3,4,2,War of the Ring,1,0,0,0,0,0,0,0,0,0,0,1,0,Adventure,PVP
2513,1768,2,4,45,6.47682,7,1477,1.3675,2,4,2,Fireball Island,1,0,0,0,0,0,0,0,0,0,1,0,0,Adventure,Other
2514,172242,2,5,20,6.17004,18,14915,1.0781,5,5,3,Exploding Kittens NSFW Deck,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
2515,170318,2,6,30,7.23691,12,1866,2.2857,4,2,2,Among the Stars Revival,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
2516,12234,1,2,360,8.25447,14,704,4.3667,3,2,1,DAK,0,0,0,0,0,0,1,0,1,0,0,0,0,Wargame,Dice_Rolling
2517,17394,2,2,300,7.64333,12,1086,4.043,2,3,1,The Burning Blue,1,0,0,0,0,0,0,0,1,0,0,0,0,Adventure,Dice_Rolling
2518,174744,3,5,45,6.8427,13,800,2.0667,4,2,1,Mogul,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
2519,6281,3,6,60,6.36561,8,1782,2.0816,5,3,1,Eketorp,0,0,0,0,0,1,0,0,0,0,0,1,0,Strategy,PVP
2520,2389,2,2,30,6.07086,8,8784,2.1071,2,1,2,Othello,0,0,0,0,0,1,0,0,0,1,0,0,0,Strategy,Movement
2521,118402,2,4,40,6.58438,8,1819,2.0204,3,1,1,Maharani,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
2522,264198,1,5,180,8.6148,12,891,3.0,6,5,1,Warhammer Quest Blackstone Fortress,1,0,0,0,0,0,0,1,0,0,0,0,0,Adventure,Co-op
2523,19184,3,5,20,6.86339,8,564,1.9333,1,1,1,Lectio,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
2524,71021,2,4,60,6.31451,12,2067,2.0532,2,3,2,Evolution The Origin of Species,0,0,0,0,1,0,0,0,1,0,0,0,0,Other,Dice_Rolling
2525,227273,2,4,60,7.61031,12,418,2.5714,2,1,1,Cosmogenesis,1,0,0,0,0,0,0,0,0,0,0,0,1,Adventure,Role_Playing
